,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Tax Effect Of Unusual Items,0.0,-270.882,0.0,0.0
Tax Rate For Calcs,2.03e-07,2.02e-07,1.7e-08,1.7799999999999998e-07
Normalized EBITDA,23921.0,23923.0,21823.0,21241.0
Total Unusual Items,0.0,-1341.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-1341.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,15974.0,14879.0,14653.0,14742.0
Reconciled Depreciation,2847.0,2896.0,2714.0,2807.0
Reconciled Cost Of Revenue,41164.0,40848.0,42760.0,42157.0
EBITDA,23921.0,22582.0,21823.0,21241.0
EBIT,21074.0,19686.0,19109.0,18434.0
Net Interest Income,-438.0,-452.0,-449.0,-388.0
Interest Expense,907.0,925.0,756.0,439.0
Interest Income,469.0,473.0,307.0,51.0
Normalized Income,15974.0,15949.118,14653.0,14742.0
Net Income From Continuing And Discontinued Operation,15974.0,14879.0,14653.0,14742.0
Total Expenses,63833.0,64153.0,63872.0,62374.0
Total Operating Income As Reported,20451.0,18545.0,18134.0,17813.0
Diluted Average Shares,2454.4,2471.9,2483.9,2539.1
Basic Average Shares,2394.902549,2407.605178,2414.003295,2457.0
Diluted EPS,6.5099999999999995e-06,6.02e-06,5.9e-06,5.8099999999999994e-06
Basic EPS,6.67e-06,6.18e-06,6.07e-06,6e-06
Diluted NI Availto Com Stockholders,15974.0,14879.0,14653.0,14742.0
Average Dilution Earnings,291.0,284.0,282.0,281.0
Net Income Common Stockholders,15682.0,14595.0,14371.0,14461.0
Preferred Stock Dividends,291.0,284.0,282.0,281.0
Net Income,15974.0,14879.0,14653.0,14742.0
Minority Interests,-91.0,-95.0,-85.0,-51.0
Net Income Including Noncontrolling Interests,16065.0,14974.0,14738.0,14793.0
Net Income Continuous Operations,16065.0,14974.0,14738.0,14793.0
Tax Provision,4102.0,3787.0,3615.0,3202.0
Pretax Income,20167.0,18761.0,18353.0,17995.0
Other Income Expense,154.0,-673.0,668.0,570.0
Other Non Operating Income Expenses,154.0,668.0,668.0,570.0
Special Income Charges,0.0,-1341.0,0.0,0.0
Impairment Of Capital Assets,0.0,1341.0,0.0,0.0
Net Non Operating Interest Income Expense,-438.0,-452.0,-449.0,-388.0
Interest Expense Non Operating,907.0,925.0,756.0,439.0
Interest Income Non Operating,469.0,473.0,307.0,51.0
Operating Income,20451.0,19886.0,18134.0,17813.0
Operating Expense,22669.0,23305.0,21112.0,20217.0
Selling General And Administration,22669.0,23305.0,21112.0,20217.0
Gross Profit,43120.0,43191.0,39246.0,38030.0
Cost Of Revenue,41164.0,40848.0,42760.0,42157.0
Total Revenue,84284.0,84039.0,82006.0,80187.0
Operating Revenue,84284.0,84039.0,82006.0,80187.0
